# Sig11,Sig12,gammac
1.351973917198462232e+02,8.052727272727270247e+01,2.656461819357826964e-02
1.445962782247531493e+02,8.131212121212121247e+01,2.651868551815484212e-02
1.540048665853372256e+02,8.209696969696969404e+01,2.647289210413859492e-02
1.634231280530764820e+02,8.288181818181817562e+01,2.642723732352555976e-02
1.728510339902359760e+02,8.366666666666665719e+01,2.638172055239185188e-02
1.822885558697929014e+02,8.445151515151513877e+01,2.633634117082633147e-02
1.917356652747571388e+02,8.523636363636362034e+01,2.629109856289646094e-02
2.011923338974985711e+02,8.602121212121210192e+01,2.624599211661480386e-02
2.106585335390776379e+02,8.680606060606058350e+01,2.620102122390564198e-02
2.201342361085832238e+02,8.759090909090906507e+01,2.615618528057202935e-02
2.296194136224788167e+02,8.837575757575757507e+01,2.611148368626317606e-02
2.391140382039499173e+02,8.916060606060605664e+01,2.606691584444221707e-02
2.486180820822615942e+02,8.994545454545453822e+01,2.602248116235413716e-02
2.581315175921191098e+02,9.073030303030301980e+01,2.597817905099427532e-02
2.676543171730364179e+02,9.151515151515150137e+01,2.593400892507681868e-02
2.771864533687121366e+02,9.229999999999999716e+01,2.588997020300394178e-02
